2022/4/7 20:52,@visegrad24 I am so intimidated. Chechen society is a warrior society. Ukraine should cede land and donkeys to the mighty Kadyrovites. Russia is so fortunate to have such mighty allies. All hail Putin the Short!,1,0
2022/4/7 20:52,"@dudewithsign Real genocide is taking place in Ukraine right now. Help us spread this information around the world. We know that it's sensitive content for your followers, but that's what russia is doing in Ukraine. Help stop the war. Link with photo https://t.co/wBIy4seDyN https://t.co/jUP0OoXtyI",1,0
2022/4/7 20:52,Ukraine war: Russia's Nobel winning editor Muratov doused with paint https://t.co/8c5T8QO9dN,0,0
2022/4/7 20:52,"@RealNyotaUhura @Robertsixto2 @OrHotchkiss Remember, every time you buy a Koch product, you are supporting Putin's annihilation of Ukraine.
Koch is on the F list, those companies continuing to do ""business as usual"" in Russia.
https://t.co/w8Vme8bmlp",1,0
2022/4/7 20:52,"Here we go ,just as much as #BuchaMasacre story ,where Ukraine neo nazis killed pple then pin it on Russia, it's all planned to isolate Russia 
#Ukraine https://t.co/X7HD0MXZLe",0,1
2022/4/7 20:52,"#Russian captive denazificator. If you are shocked then you are a victim of russian narrative, which assures you every country around Russia, who doesn't support Russia is nazi. Estonia, Latvia, Lithuania, Poland, Georgia and now (since 2004) #Ukraine ...

#RussianArmy  #Peskov https://t.co/qCHpLlRj34",1,0
2022/4/7 20:52,@GhurabaID @Ukraine @pinkfloyd @Russia Ratio https://t.co/tLZdXf5OPY,0,0
2022/4/7 20:52,"@MoBeerEngineer @IAPonomarenko It¡¯s astonishing how little progress Russia seem to have made the last couple of weeks, there was talk them of them splitting the Ukraine areas in to two pockets then and they haven¡¯t even managed that yet.",1,0
2022/4/7 20:52,?@POTUS? ¡°Russia¡¯s lies are no match for the undeniable evidence of what is happening in Ukraine. ¡° https://t.co/nRnqd75ZRV,1,0
2022/4/7 20:52,@KyivIndependent ??????????????????WHY THE FUCK ARE THEY JUST CONSIDERING IT &amp; **NOT** DOING IT?!?! WHAT'S THERE TO CONSIDER??? THIS IS BIGGEST LOAD OF BULLSHIT I'VE EVER SEEN! #NATO NEEDS TO STEP THE FUCK UP ALONG W #USA &amp; GIVE #Ukraine WHATEVER THEY NEED TO ?DEFEAT? #PUTIN #RUSSIA,1,1
2022/4/7 20:52,"@ZelenskyyUa @UN_HRC Mr President, ruSSia should be begging the heroes of Ukraine for peace and forgiveness. Give them nothing, they are unworthy of your consideration.
Slawa Ukraini ????????",1,1
2022/4/7 20:52,#BREAKING German spies have intercepted Russian solders discussing murdering civilians. #UkraineRussianWar  https://t.co/RIOPZC7m05,0,0
2022/4/7 20:52,"Biden:

""After today¡¯s historic vote, Russia will not be able to participate in the Council¡¯s work or spread its disinformation there as the Council¡¯s Commission of Inquiry investigates Russia¡¯s violations and abuses of human rights in Ukraine""

#StandWithUkraine https://t.co/VugTgG2KeC",1,0
2022/4/7 20:52,Russia And Ukraine's Conflict Over Natural Gas Explained https://t.co/pVNwuDoTu8 via @YouTube,0,0
